11:46:02.662 ERROR Tue May 25 2021 23:46:02 GMT-0600 (Central Standard Time) | index.js | user.service.js | Error al iniciar sesión de credi usuario | SequelizeDatabaseError: Unknown column 'user_id' in 'field list' 
11:46:02.662 ERROR Tue May 25 2021 23:46:02 GMT-0600 (Central Standard Time) | index.js | login.controller.js | Ha sucedido un problema con su inició de sesión | [object Object] 
11:47:38.996 ERROR Tue May 25 2021 23:47:38 GMT-0600 (Central Standard Time) | index.js | login.controller.js | Ha sucedido un problema con su inició de sesión | [object Object] 
11:47:38.996 ERROR Tue May 25 2021 23:47:38 GMT-0600 (Central Standard Time) | index.js | user.service.js | Error al iniciar sesión de credi usuario | SequelizeDatabaseError: Unknown column 'user_id' in 'field list' 
15:11:09.591 ERROR Wed May 26 2021 03:11:09 GMT-0600 (Central Standard Time) | index.js | login.controller.js | Ha sucedido un problema con su inició de sesión | [object Object] 
15:11:09.590 ERROR Wed May 26 2021 03:11:09 GMT-0600 (Central Standard Time) | index.js | user.service.js | Error al iniciar sesión de credi usuario | ReferenceError: userVerifyAuth is not defined 
15:21:26.310 ERROR Wed May 26 2021 03:21:26 GMT-0600 (Central Standard Time) | index.js | user.service.js | Error al iniciar sesión de credi usuario | SequelizeEagerLoadingError: information_users is not associated to users! 
15:21:26.310 ERROR Wed May 26 2021 03:21:26 GMT-0600 (Central Standard Time) | index.js | login.controller.js | Ha sucedido un problema con su inició de sesión | [object Object] 
15:39:51.613 ERROR Wed May 26 2021 03:39:51 GMT-0600 (Central Standard Time) | index.js | user.service.js | Error al iniciar sesión de credi usuario | SequelizeEagerLoadingError: has_info is not associated to users! 
15:39:58.388 ERROR Wed May 26 2021 03:39:58 GMT-0600 (Central Standard Time) | index.js | login.controller.js | Ha sucedido un problema con su inició de sesión | [object Object] 
15:44:18.934 ERROR Wed May 26 2021 03:44:18 GMT-0600 (Central Standard Time) | index.js | user.service.js | Error al iniciar sesión de credi usuario | SequelizeDatabaseError: Unknown column 'has_info.has_info_id' in 'field list' 
15:44:18.937 ERROR Wed May 26 2021 03:44:18 GMT-0600 (Central Standard Time) | index.js | login.controller.js | Ha sucedido un problema con su inició de sesión | [object Object] 
15:49:00.346 ERROR Wed May 26 2021 03:49:00 GMT-0600 (Central Standard Time) | index.js | user.service.js | Error al iniciar sesión de credi usuario | SequelizeDatabaseError: Unknown column 'user_permission.permission_id' in 'field list' 
15:49:07.948 ERROR Wed May 26 2021 03:49:07 GMT-0600 (Central Standard Time) | index.js | login.controller.js | Ha sucedido un problema con su inició de sesión | [object Object] 
15:49:53.130 ERROR Wed May 26 2021 03:49:53 GMT-0600 (Central Standard Time) | index.js | user.service.js | Error al iniciar sesión de credi usuario | SequelizeDatabaseError: Unknown column 'user_permissions.permission_id' in 'field list' 
15:49:56.299 ERROR Wed May 26 2021 03:49:56 GMT-0600 (Central Standard Time) | index.js | login.controller.js | Ha sucedido un problema con su inició de sesión | [object Object] 
22:22:50.286 ERROR Wed May 26 2021 10:22:50 GMT-0600 (Central Standard Time) | index.js | register.controller.js | Error al intentar registrar usuario | Su contraseña debe poseer 12 carácteres mínimos 
22:24:25.113 ERROR Wed May 26 2021 10:24:25 GMT-0600 (Central Standard Time) | index.js | register.controller.js | Error al intentar registrar usuario | "password" with value "12345678" fails to match the required pattern: /^[a-zA-Z0-9,(),-_.,@$%^/`!?¿¡]{12,24}$/ 
22:25:10.353 ERROR Wed May 26 2021 10:25:10 GMT-0600 (Central Standard Time) | index.js | register.controller.js | Error al intentar registrar usuario | "password" with value "0b3d123456" fails to match the required pattern: /^[a-zA-Z0-9,(),-_.,@$%^/`!?¿¡]{12,24}$/ 
22:25:39.704 ERROR Wed May 26 2021 10:25:39 GMT-0600 (Central Standard Time) | index.js | register.controller.js | Error al intentar registrar usuario | "password" with value "0b$d123456" fails to match the required pattern: /^[a-zA-Z0-9,(),-_.,@$%^/`!?¿¡]{12,24}$/ 
22:26:07.585 ERROR Wed May 26 2021 10:26:07 GMT-0600 (Central Standard Time) | index.js | register.controller.js | Error al intentar registrar usuario | Su dirección de referencia debe poseer mejor descripción 
22:47:45.590 ERROR Wed May 26 2021 10:47:45 GMT-0600 (Central Standard Time) | index.js | login.controller.js | Ha sucedido un problema con su inició de sesión | TypeError: validationErrorMessage is not a function 
